"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/diversity_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/diversity.csv?datainfo&rowcount&count=genera&cc=NOA"
"Access Time","Tue 2017-08-29 21:38:57 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","count","genera"
"","time_reso","stage"
"","cc","NOA"
"","timerule","major"
"Elapsed Time","25.8"
"Records Found","100"
"Records Returned","100"
"Summary:"
"n_occs","bin_total","imprecise_time","imprecise_taxon","missing_taxon"
"493798","422295","71503","45850","1350"
"Records:"
"interval_no","interval_name","max_ma","min_ma","X_Ft","X_bL","X_FL","X_bt","sampled_in_bin","n_occs"
"192","Hirnantian","445.20000","443.40000","7","32","15","421","100","635"
"1008","Katian","453.00000","445.20000","196","170","326","257","872","15038"
"1009","Sandbian","458.40000","453.00000","32","32","17","395","203","3013"
"556","Darriwilian","467.30000","458.40000","256","124","218","171","702","6128"
"1079","Dapingian","470.00000","467.30000","62","9","3","233","147","640"
"1010","Floian","477.70000","470.00000","96","68","74","146","332","2315"
"559","Tremadocian","485.40000","477.70000","186","5","210","28","414","2676"
"1112","Stage 10","489.50000","485.40000","0","0","0","33","0","0"
"1113","Jiangshanian","494.00000","489.50000","0","0","0","33","0","0"
"1114","Paibian","497.00000","494.00000","0","0","0","33","0","0"
"1087","Guzhangian","500.50000","497.00000","1","1","4","32","6","6"
"1116","Drumian","504.50000","500.50000","0","0","0","33","0","0"
"1117","Stage 5","509.00000","504.50000","0","0","0","33","0","0"
"1118","Stage 4","514.00000","509.00000","1","64","142","32","216","2182"
"1119","Stage 3","521.00000","514.00000","67","44","213","29","349","2079"
"1120","Stage 2","529.00000","521.00000","63","1","31","10","102","466"
"1121","Fortunian","541.00000","529.00000","11","0","2","0","13","30"
